company_folder,order,user_image,original,sorted,sha256,kind
01_CommerceCX,1,13,WhatsApp Image 2026-09-10 at 7.11.51 AM (1).jpeg,sorted_media/01_CommerceCX/01_Photo_13.jpeg,2d636ed94cc061fd2e9a67b40b06b0ac20dd5729c6f5dd7c88ebe9a45a6526a2,image
01_CommerceCX,2,16,WhatsApp Image 2026-09-10 at 7.11.50 AM.jpeg,sorted_media/01_CommerceCX/02_Photo_16.jpeg,f852acb96c489aee2cbb4ec70d854bb7f0eaa323c9fb9d4ba38f3f35f85dade6,image
01_CommerceCX,3,15,WhatsApp Image 2026-09-10 at 7.11.50 AM (1).jpeg,sorted_media/01_CommerceCX/03_Photo_15.jpeg,3cb51cf82005c1e483b9d07c7a0a2f484f10249c6c3763360817b1e98bbaf5b5,image
01_CommerceCX,4,14,WhatsApp Image 2026-09-10 at 7.11.51 AM.jpeg,sorted_media/01_CommerceCX/04_Photo_14.jpeg,a28ab501bd6b701ea5447285ee7af671198c37757c32a5467ba5abba21319ca5,image
02_AnjX,1,,WhatsApp Video 2026-09-10 at 7.11.12 AM.mp4,sorted_media/02_AnjX/01_Original_video.mp4,4c0de55cead1d5661bc0be4487205ff1429f04c799c84c55aee213cdfb171380,video
03_Slooze,1,,WhatsApp Video 2026-09-10 at 7.11.34 AM.mp4,sorted_media/03_Slooze/01_Original_video.mp4,4f7e548d40dd1add007b492cdcc6319fa0cbbc2bf0b59ec21701ca1aefa04aa3,video
04_Tomax_Digital,1,19,WhatsApp Image 2026-09-10 at 7.11.11 AM (2).jpeg,sorted_media/04_Tomax_Digital/01_Photo_19.jpeg,536f2635cfc6528001f3edb8f0b3e957ee819323e2c368b47b1d0fff0c82ee4b,image
04_Tomax_Digital,2,20,WhatsApp Image 2026-09-10 at 7.11.11 AM (1).jpeg,sorted_media/04_Tomax_Digital/02_Photo_20.jpeg,905745dc6c0ee2afb794ff9ebc0efb007b32c4a15cf6efb5aa7a93bb508d01ee,image
04_Tomax_Digital,3,21,WhatsApp Image 2026-09-10 at 7.11.11 AM.jpeg,sorted_media/04_Tomax_Digital/03_Photo_21.jpeg,cabb3d416f6b9acda844aad844b78a892bb6def6e1312f1bb5b32e3a667e81cd,image
04_Tomax_Digital,4,22,WhatsApp Image 2026-09-10 at 7.11.10 AM (1).jpeg,sorted_media/04_Tomax_Digital/04_Photo_22.jpeg,3dd4469f18e2150b8e42b1bf3076a28425d04091a90f7b001427eef309450d9d,image
05_Zeliot_Condense,1,17,WhatsApp Image 2026-09-10 at 7.11.12 AM.jpeg,sorted_media/05_Zeliot_Condense/01_Photo_17.jpeg,e430edba1c2e4bc4ab5dc009ccf730242797634efd68cc2137584a8abcbf038b,image
05_Zeliot_Condense,2,18,WhatsApp Image 2026-09-10 at 7.11.11 AM (3).jpeg,sorted_media/05_Zeliot_Condense/02_Photo_18.jpeg,8ae3d610036caed3551e130e0c6f00eabcf679427f2a34c8b7fd3b6bb0e0eaed,image
06_Adventis_OptiMES,1,6,WhatsApp Image 2026-09-10 at 7.11.54 AM.jpeg,sorted_media/06_Adventis_OptiMES/01_Photo_06.jpeg,07e765255bc1a980e747140161613703f7ba4812bcee96b15bd0dbd909b2c04d,image
06_Adventis_OptiMES,2,8,WhatsApp Image 2026-09-10 at 7.11.53 AM.jpeg,sorted_media/06_Adventis_OptiMES/02_Photo_08.jpeg,7299f3c3df990e6c8d46d03c536cc35a327044eef18e1bac7ee34e7317ef4be8,image
06_Adventis_OptiMES,3,7,WhatsApp Image 2026-09-10 at 7.11.53 AM (1).jpeg,sorted_media/06_Adventis_OptiMES/03_Photo_07.jpeg,074fe1e8399e30960a4ca887b60fdbf66988e4a9bf8ebb02c91529d9bad9567f,image
